year_month,year,month,count
2010-01,2010,1,68
2010-02,2010,2,103
2010-03,2010,3,127
2010-04,2010,4,115
2010-05,2010,5,82
2010-06,2010,6,117
2010-07,2010,7,124
2010-08,2010,8,99
2010-09,2010,9,113
2010-10,2010,10,107
2010-11,2010,11,146
2010-12,2010,12,127
2011-01,2011,1,124
2011-02,2011,2,107
2011-03,2011,3,147
2011-04,2011,4,114
2011-05,2011,5,120
2011-06,2011,6,194
2011-07,2011,7,145
2011-08,2011,8,140
2011-09,2011,9,126
2011-10,2011,10,117
2011-11,2011,11,139
2011-12,2011,12,136
2012-01,2012,1,190
2012-02,2012,2,126
2012-03,2012,3,142
2012-04,2012,4,154
2012-05,2012,5,152
2012-06,2012,6,152
2012-07,2012,7,191
2012-08,2012,8,187
2012-09,2012,9,199
2012-10,2012,10,205
2012-11,2012,11,204
2012-12,2012,12,197
2013-01,2013,1,235
2013-02,2013,2,196
2013-03,2013,3,243
2013-04,2013,4,281
2013-05,2013,5,234
2013-06,2013,6,222
2013-07,2013,7,188
2013-08,2013,8,202
2013-09,2013,9,190
2013-10,2013,10,287
2013-11,2013,11,192
2013-12,2013,12,227
2014-01,2014,1,290
2014-02,2014,2,239
2014-03,2014,3,288
2014-04,2014,4,256
2014-05,2014,5,296
2014-06,2014,6,296
2014-07,2014,7,342
2014-08,2014,8,323
2014-09,2014,9,376
2014-10,2014,10,390
2014-11,2014,11,316
2014-12,2014,12,420
2015-01,2015,1,376
2015-02,2015,2,386
2015-03,2015,3,394
2015-04,2015,4,447
2015-05,2015,5,407
2015-06,2015,6,476
2015-07,2015,7,411
2015-08,2015,8,438
2015-09,2015,9,491
2015-10,2015,10,561
2015-11,2015,11,500
2015-12,2015,12,562
2016-01,2016,1,557
2016-02,2016,2,564
2016-03,2016,3,619
2016-04,2016,4,619
2016-05,2016,5,658
2016-06,2016,6,581
2016-07,2016,7,579
2016-08,2016,8,769
2016-09,2016,9,673
2016-10,2016,10,902
2016-11,2016,11,582
2016-12,2016,12,574
2017-01,2017,1,641
2017-02,2017,2,653
2017-03,2017,3,806
2017-04,2017,4,696
2017-05,2017,5,759
2017-06,2017,6,678
2017-07,2017,7,738
2017-08,2017,8,1183
2017-09,2017,9,763
2017-10,2017,10,1105
2017-11,2017,11,1130
2017-12,2017,12,906
2018-01,2018,1,855
2018-02,2018,2,943
2018-03,2018,3,1054
2018-04,2018,4,915
2018-05,2018,5,918
2018-06,2018,6,792
2018-07,2018,7,880
2018-08,2018,8,1016
2018-09,2018,9,918
2018-10,2018,10,1228
2018-11,2018,11,1016
2018-12,2018,12,853
2019-01,2019,1,979
2019-02,2019,2,900
2019-03,2019,3,916
2019-04,2019,4,995
2019-05,2019,5,1144
2019-06,2019,6,1249
2019-07,2019,7,1253
2019-08,2019,8,1275
2019-09,2019,9,1121
2019-10,2019,10,1407
2019-11,2019,11,1126
2019-12,2019,12,1237
2020-01,2020,1,1290
2020-02,2020,2,905
2020-03,2020,3,1110
2020-04,2020,4,1304
2020-05,2020,5,1170
2020-06,2020,6,1651
2020-07,2020,7,1624
2020-08,2020,8,1496
2020-09,2020,9,1525
2020-10,2020,10,1752
2020-11,2020,11,1634
2020-12,2020,12,1592
2021-01,2021,1,1317
2021-02,2021,2,1451
2021-03,2021,3,1738
2021-04,2021,4,1690
2021-05,2021,5,1757
2021-06,2021,6,2005
2021-07,2021,7,2289
2021-08,2021,8,2424
2021-09,2021,9,2567
2021-10,2021,10,2363
2021-11,2021,11,2558
2021-12,2021,12,2607
2022-01,2022,1,2328
2022-02,2022,2,2208
2022-03,2022,3,2820
2022-04,2022,4,2961
2022-05,2022,5,3145
2022-06,2022,6,3625
2022-07,2022,7,3320
2022-08,2022,8,3727
2022-09,2022,9,3533
2022-10,2022,10,3730
2022-11,2022,11,3368
2022-12,2022,12,3175
2023-01,2023,1,2934
2023-02,2023,2,2617
2023-03,2023,3,3539
2023-04,2023,4,3598
2023-05,2023,5,3489
2023-06,2023,6,2894
2023-07,2023,7,2564
2023-08,2023,8,1835
2023-09,2023,9,1549
2023-10,2023,10,1689
2023-11,2023,11,1512
2023-12,2023,12,1350
2024-01,2024,1,1436
2024-02,2024,2,1580
2024-03,2024,3,1721
2024-04,2024,4,1974
2024-05,2024,5,1958
2024-06,2024,6,1943
2024-07,2024,7,2052
2024-08,2024,8,2258
2024-09,2024,9,2139
2024-10,2024,10,2312
2024-11,2024,11,1691
2024-12,2024,12,1682
2025-01,2025,1,1792
2025-02,2025,2,1776
2025-03,2025,3,1866
2025-04,2025,4,1640
2025-05,2025,5,1380
2025-06,2025,6,910
2025-07,2025,7,1023
2025-08,2025,8,1097
2025-09,2025,9,1342
2025-10,2025,10,1499
2025-11,2025,11,1317
2025-12,2025,12,1618
2026-01,2026,1,1522
2026-02,2026,2,2058
2026-03,2026,3,4734
2026-04,2026,4,1155
2026-05,2026,5,1
2026-06,2026,6,4
2026-07,2026,7,1
2026-08,2026,8,2
