year,installs,kw_installed,unique_zips,unique_cities,yoy_growth_pct
1972,1,0.0,1,1,
1973,1,0.0,1,1,0.0
1989,11,0.0,5,1,1000.0
1990,1,0.0,1,1,-90.9
1991,2,0.0,2,1,100.0
1992,7,0.0,3,1,250.0
1993,7,0.0,5,2,0.0
1994,14,0.0,4,3,100.0
1995,11,0.0,3,2,-21.4
1996,9,0.0,4,2,-18.2
1997,15,0.0,6,3,66.7
1998,21,0.0,5,2,40.0
1999,23,0.0,7,4,9.5
2000,148,0.0,31,13,543.5
2001,118,0.0,32,11,-20.3
2002,187,0.0,38,11,58.5
2003,262,0.0,45,13,40.1
2004,390,0.0,43,13,48.9
2005,369,0.0,48,14,-5.4
2006,581,0.0,49,15,57.5
2007,548,0.0,71,18,-5.7
2008,587,0.0,102,33,7.1
2009,577,0.0,132,46,-1.7
2010,1217,0.0,244,74,110.9
2011,1475,0.0,228,67,21.2
2012,1856,996.2666666666668,254,63,25.8
2013,2147,39.6,294,79,15.7
2014,3161,1558.306,389,128,47.2
2015,4699,1679.058,504,160,48.7
2016,7012,1103.181,567,187,49.2
2017,9658,3844.404666666667,552,156,37.7
2018,11258,4708.691333333333,761,222,16.6
2019,13441,11874.851333333334,883,266,19.4
2020,16919,13190.000666666667,1078,296,25.9
2021,24498,18005.747666666666,1478,419,44.8
2022,37577,23553.530333333332,1887,632,53.4
